id,title,number,lon,lat,distance,image,street,housenumber,zip,city,freiplatzstatus/0/gueltigAb,freiplatzstatus/0/plaetzeVerfuegbar,freiplatzstatus/1/gueltigAb,freiplatzstatus/1/plaetzeVerfuegbar,freiplatzstatus/2/gueltigAb,freiplatzstatus/2/plaetzeVerfuegbar,freiplatzstatus/3/gueltigAb,freiplatzstatus/3/plaetzeVerfuegbar,freiplatzstatus/4/gueltigAb,freiplatzstatus/4/plaetzeVerfuegbar,freiplatzstatus/5/gueltigAb,freiplatzstatus/5/plaetzeVerfuegbar,freiplatzstatus/6/gueltigAb,freiplatzstatus/6/plaetzeVerfuegbar,freiplatzstatus/7/gueltigAb,freiplatzstatus/7/plaetzeVerfuegbar,freiplatzstatus/8/gueltigAb,freiplatzstatus/8/plaetzeVerfuegbar
2538,Kindergarten Mini-Kids mit Grips,12201520,13.314665342865355,52.61655252615568,14.11,/fallback_einrichtung_vorschau.jpg,Wachsmuthstr.,12,13467,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,false,2022-09-01,false,2022-10-01,false,2022-11-01,false,2022-12-01,false,2023-01-01,false
2249,Humanistische Kita Kastanienallee,10230280,13.601416340298057,52.53959255819976,14.11,/bilder/einrichtungsvorschau/2249,Kastanienallee,28,12627,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
466179,Kita Kletterfrösche,10231020,13.610681456141666,52.49449658089909,14.11,/fallback_einrichtung_vorschau.jpg,Ledebourstr.,1,12623,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
220179,Kita Achillesstraße,03180670,13.489748949306477,52.616789016671824,14.11,/bilder/einrichtungsvorschau/220179,Achillesstr.,68,13125,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1722,Kita Villa Purzelbaum,05080310,13.206440521276424,52.54482609505215,14.11,/fallback_einrichtung_vorschau.jpg,Kirchhofstr.,35,13585,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
493,Kita Springmäuse,10230450,13.605586283196775,52.53061496605523,14.12,/bilder/einrichtungsvorschau/493,Stollberger Str.,25,12627,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
789,Bunte Kinderwelt,10210820,13.575420229693787,52.57263849799333,14.12,/bilder/einrichtungsvorschau/789,Schorfheidestr.,48,12689,Berlin,2022-05-01,false,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
908,EKT Senfkornbande,05080770,13.195322593672252,52.51640551353853,14.12,/fallback_einrichtung_vorschau.jpg,Grimnitzstr.,5B,13595,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
2236,Kita Haus am Wald,10230650,13.605942504361703,52.473168360121726,14.13,/fallback_einrichtung_vorschau.jpg,Kiekemaler Str.,7,12623,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,false,2022-09-01,false,2022-10-01,false,2022-11-01,false,2022-12-01,false,2023-01-01,false
504279,Kita Warumka,10231060,13.598481200026875,52.545727343315164,14.14,/fallback_einrichtung_vorschau.jpg,Mittenwalder Str.,14,12629,Berlin,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
2523,"""Waldkindergarten Pankow e.V. - Die Waldläufer""",03190990,13.387571259982321,52.62843216653005,14.15,/fallback_einrichtung_vorschau.jpg,Schildower Str.,20,13159,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
2684,Kita Nordstern,03191130,13.49151124784766,52.61678809826751,14.16,/fallback_einrichtung_vorschau.jpg,Achillesstr.,75,13125,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
544429,Kita Am Maselakepark,05081880,13.212844984976728,52.555876122784504,14.19,/fallback_einrichtung_vorschau.jpg,Am Maselakepark,21,13587,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
1738,Kita Melanchthon,05080390,13.194314064787122,52.51670302433341,14.19,/fallback_einrichtung_vorschau.jpg,Baumertweg,5,13595,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1520,AWO-Kita Wundertüte,05080780,13.210163942844709,52.55252143653164,14.2,/bilder/einrichtungsvorschau/1520,Neuendorfer Str.,56,13585,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
751329,Kita Zitterbacke 2,03180890,13.488806524601722,52.61794670351332,14.21,/fallback_einrichtung_vorschau.jpg,Achillesstr.,59,13125,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
1069229,Kita Stendaler Str. 29,10231480,13.603280788246702,52.53934125353651,14.22,/fallback_einrichtung_vorschau.jpg,Stendaler Str.,29,12627,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,false,2022-09-01,false,2022-10-01,false,2022-11-01,false,2022-12-01,false,2023-01-01,false,2023-02-01,false
333129,Kita Bananas,05081690,13.195812938946421,52.52512108002379,14.23,/fallback_einrichtung_vorschau.jpg,Metzer Str.,4,13595,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
